sale_id,date,medicine_name,generic_name,category,units_sold,unit_price_usd,total_revenue_usd,region,pharmacy_id,prescription_required
SAL10111,2024-01-05,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,3,0.76,2.28,East,PH1004,Yes
SAL10156,2024-01-09,Metformin 500mg,Metformin,Antidiabetic,6,0.52,3.12,Central,PH1004,Yes
SAL10168,2024-01-12,Fluconazole 150mg,Fluconazole,Antifungal,1,2.23,2.23,East,PH1001,Yes
SAL10189,2024-01-12,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,1,0.62,0.62,Central,PH1001,Yes
SAL10088,2024-01-14,Salbutamol Inhaler,Salbutamol,Bronchodilator,1,5.13,5.13,East,PH1007,No
SAL10198,2024-01-14,Metformin 500mg,Metformin,Antidiabetic,3,0.66,1.98,West,PH1006,Yes
SAL10110,2024-01-15,Cetirizine 10mg,Cetirizine,Antihistamine,8,0.5,4.0,East,PH1001,No
SAL10145,2024-01-16,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,10,0.52,5.2,North,PH1004,No
SAL10135,2024-01-17,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,6,0.58,3.48,South,PH1005,No
SAL10193,2024-01-24,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,4,0.88,3.52,Central,PH1007,Yes
SAL10119,2024-01-25,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,6,0.65,3.9,East,PH1008,Yes
SAL10086,2024-01-26,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,1,0.93,0.93,West,PH1000,Yes
SAL10040,2024-01-26,Amoxicillin 500mg,Amoxicillin,Antibiotic,11,1.22,13.42,West,PH1006,Yes
SAL10178,2024-01-27,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,9,0.56,5.04,Central,PH1003,No
SAL10174,2024-01-27,Salbutamol Inhaler,Salbutamol,Bronchodilator,2,5.06,10.12,West,PH1006,No
SAL10116,2024-01-29,Amoxicillin 500mg,Amoxicillin,Antibiotic,4,1.14,4.56,North,PH1008,Yes
SAL10094,2024-02-03,Fluconazole 150mg,Fluconazole,Antifungal,2,2.27,4.54,West,PH1008,Yes
SAL10084,2024-02-03,Amoxicillin 500mg,Amoxicillin,Antibiotic,3,1.49,4.47,South,PH1002,Yes
SAL10010,2024-02-04,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,2,0.85,1.7,East,PH1002,Yes
SAL10035,2024-02-04,Salbutamol Inhaler,Salbutamol,Bronchodilator,1,5.15,5.15,Central,PH1006,No
SAL10192,2024-02-04,Amoxicillin 500mg,Amoxicillin,Antibiotic,4,1.19,4.76,West,PH1006,Yes
SAL10130,2024-02-05,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,6,0.98,5.88,North,PH1005,Yes
SAL10140,2024-02-05,Metformin 500mg,Metformin,Antidiabetic,5,0.53,2.65,South,PH1003,Yes
SAL10103,2024-02-07,Metformin 500mg,Metformin,Antidiabetic,5,0.45,2.25,South,PH1005,Yes
SAL10160,2024-02-07,Cetirizine 10mg,Cetirizine,Antihistamine,3,0.5,1.5,Central,PH1009,No
SAL10027,2024-02-08,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,2,0.99,1.98,East,PH1000,Yes
SAL10091,2024-02-08,Metformin 500mg,Metformin,Antidiabetic,2,0.69,1.38,South,PH1000,Yes
SAL10182,2024-02-10,Fluconazole 150mg,Fluconazole,Antifungal,2,2.86,5.72,Central,PH1006,Yes
SAL10060,2024-02-11,Ibuprofen 200mg,Ibuprofen,NSAID,7,0.46,3.22,South,PH1004,No
SAL10107,2024-02-11,Amlodipine 5mg,Amlodipine,Antihypertensive,3,0.79,2.37,Central,PH1009,Yes
SAL10122,2024-02-18,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,7,0.5,3.5,North,PH1005,No
SAL10020,2024-02-21,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,3,0.89,2.67,North,PH1006,Yes
SAL10013,2024-02-21,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,3,0.76,2.28,East,PH1009,Yes
SAL10005,2024-02-22,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,1,1.04,1.04,Central,PH1009,Yes
SAL10059,2024-02-22,Fluconazole 150mg,Fluconazole,Antifungal,2,2.38,4.76,West,PH1003,Yes
SAL10125,2024-02-24,Ibuprofen 200mg,Ibuprofen,NSAID,5,0.34,1.7,North,PH1001,No
SAL10085,2024-02-25,Salbutamol Inhaler,Salbutamol,Bronchodilator,2,4.97,9.94,West,PH1007,No
SAL10171,2024-02-27,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,1,0.43,0.43,South,PH1007,No
SAL10105,2024-02-29,Cetirizine 10mg,Cetirizine,Antihistamine,4,0.45,1.8,East,PH1007,No
SAL10167,2024-02-29,Amoxicillin 500mg,Amoxicillin,Antibiotic,6,1.16,6.96,East,PH1008,Yes
SAL10199,2024-03-06,Ibuprofen 200mg,Ibuprofen,NSAID,1,0.44,0.44,Central,PH1009,No
SAL10015,2024-03-06,Ibuprofen 200mg,Ibuprofen,NSAID,3,0.37,1.11,North,PH1006,No
SAL10109,2024-03-07,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,2,1.11,2.22,Central,PH1004,Yes
SAL10158,2024-03-08,Metformin 500mg,Metformin,Antidiabetic,3,0.68,2.04,Central,PH1002,Yes
SAL10080,2024-03-09,Salbutamol Inhaler,Salbutamol,Bronchodilator,3,4.98,14.94,South,PH1004,No
SAL10064,2024-03-10,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,4,0.69,2.76,North,PH1009,Yes
SAL10141,2024-03-13,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,9,0.84,7.56,South,PH1006,No
SAL10097,2024-03-15,Amoxicillin 500mg,Amoxicillin,Antibiotic,7,1.34,9.38,Central,PH1001,Yes
SAL10161,2024-03-21,Metformin 500mg,Metformin,Antidiabetic,3,0.44,1.32,West,PH1008,Yes
SAL10188,2024-03-24,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,4,0.87,3.48,East,PH1005,Yes
SAL10048,2024-03-26,Metformin 500mg,Metformin,Antidiabetic,1,0.56,0.56,Central,PH1009,Yes
SAL10045,2024-04-01,Salbutamol Inhaler,Salbutamol,Bronchodilator,2,5.13,10.26,South,PH1007,No
SAL10076,2024-04-04,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,10,0.72,7.2,North,PH1000,No
SAL10181,2024-04-04,Fluconazole 150mg,Fluconazole,Antifungal,6,2.74,16.44,East,PH1007,Yes
SAL10054,2024-04-04,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,7,0.5,3.5,South,PH1009,No
SAL10056,2024-04-05,Amoxicillin 500mg,Amoxicillin,Antibiotic,7,1.4,9.8,Central,PH1002,Yes
SAL10051,2024-04-05,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,5,0.28,1.4,Central,PH1005,No
SAL10128,2024-04-05,Ibuprofen 200mg,Ibuprofen,NSAID,7,0.48,3.36,South,PH1006,No
SAL10073,2024-04-08,Salbutamol Inhaler,Salbutamol,Bronchodilator,1,5.19,5.19,South,PH1001,No
SAL10102,2024-04-10,Fluconazole 150mg,Fluconazole,Antifungal,1,2.49,2.49,Central,PH1005,Yes
SAL10146,2024-04-12,Cetirizine 10mg,Cetirizine,Antihistamine,2,0.24,0.48,Central,PH1004,No
SAL10077,2024-04-12,Salbutamol Inhaler,Salbutamol,Bronchodilator,1,5.13,5.13,East,PH1001,No
SAL10000,2024-04-12,Amoxicillin 500mg,Amoxicillin,Antibiotic,5,0.9,4.5,North,PH1004,Yes
SAL10016,2024-04-17,Amoxicillin 500mg,Amoxicillin,Antibiotic,6,1.14,6.84,Central,PH1004,Yes
SAL10099,2024-04-22,Fluconazole 150mg,Fluconazole,Antifungal,3,2.09,6.27,South,PH1009,Yes
SAL10165,2024-04-22,Amlodipine 5mg,Amlodipine,Antihypertensive,2,0.48,0.96,West,PH1003,Yes
SAL10017,2024-04-25,Fluconazole 150mg,Fluconazole,Antifungal,1,2.28,2.28,East,PH1009,Yes
SAL10169,2024-04-29,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,1,1.04,1.04,East,PH1003,Yes
SAL10157,2024-04-29,Salbutamol Inhaler,Salbutamol,Bronchodilator,1,5.09,5.09,East,PH1006,No
SAL10033,2024-05-14,Cetirizine 10mg,Cetirizine,Antihistamine,5,0.28,1.4,South,PH1008,No
SAL10063,2024-05-15,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,5,0.91,4.55,South,PH1001,Yes
SAL10104,2024-05-16,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,1,0.93,0.93,East,PH1006,Yes
SAL10100,2024-05-18,Fluconazole 150mg,Fluconazole,Antifungal,2,2.39,4.78,North,PH1009,Yes
SAL10062,2024-05-20,Ibuprofen 200mg,Ibuprofen,NSAID,3,0.21,0.63,West,PH1001,No
SAL10014,2024-05-22,Metformin 500mg,Metformin,Antidiabetic,2,0.48,0.96,North,PH1007,Yes
SAL10177,2024-05-24,Cetirizine 10mg,Cetirizine,Antihistamine,1,0.42,0.42,Central,PH1007,No
SAL10068,2024-05-26,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,12,0.28,3.36,East,PH1001,No
SAL10026,2024-05-26,Salbutamol Inhaler,Salbutamol,Bronchodilator,1,4.98,4.98,East,PH1008,No
SAL10154,2024-05-27,Salbutamol Inhaler,Salbutamol,Bronchodilator,3,4.98,14.94,North,PH1005,No
SAL10183,2024-05-27,Ibuprofen 200mg,Ibuprofen,NSAID,4,0.45,1.8,West,PH1002,No
SAL10028,2024-05-30,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,2,0.64,1.28,North,PH1005,Yes
SAL10173,2024-06-05,Salbutamol Inhaler,Salbutamol,Bronchodilator,3,4.92,14.76,Central,PH1003,No
SAL10132,2024-06-06,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,4,0.85,3.4,Central,PH1006,Yes
SAL10034,2024-06-06,Ibuprofen 200mg,Ibuprofen,NSAID,8,0.31,2.48,East,PH1009,No
SAL10163,2024-06-06,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,1,0.77,0.77,West,PH1009,Yes
SAL10052,2024-06-08,Amlodipine 5mg,Amlodipine,Antihypertensive,5,0.68,3.4,North,PH1001,Yes
SAL10129,2024-06-09,Cetirizine 10mg,Cetirizine,Antihistamine,1,0.29,0.29,North,PH1004,No
SAL10038,2024-06-09,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,9,0.66,5.94,North,PH1002,No
SAL10009,2024-06-11,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,12,0.63,7.56,South,PH1006,No
SAL10053,2024-06-16,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,2,0.89,1.78,East,PH1003,Yes
SAL10083,2024-06-18,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,4,0.66,2.64,Central,PH1000,No
SAL10003,2024-06-18,Fluconazole 150mg,Fluconazole,Antifungal,1,2.44,2.44,West,PH1000,Yes
SAL10115,2024-06-19,Amoxicillin 500mg,Amoxicillin,Antibiotic,8,1.06,8.48,South,PH1004,Yes
SAL10022,2024-06-20,Cetirizine 10mg,Cetirizine,Antihistamine,3,0.2,0.6,East,PH1005,No
SAL10036,2024-06-20,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,4,0.78,3.12,South,PH1002,Yes
SAL10065,2024-06-21,Ibuprofen 200mg,Ibuprofen,NSAID,1,0.17,0.17,South,PH1009,No
SAL10098,2024-06-21,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,2,0.94,1.88,West,PH1001,Yes
SAL10124,2024-06-23,Amlodipine 5mg,Amlodipine,Antihypertensive,4,0.66,2.64,Central,PH1006,Yes
SAL10194,2024-06-25,Salbutamol Inhaler,Salbutamol,Bronchodilator,2,5.24,10.48,North,PH1003,No
SAL10108,2024-06-27,Amoxicillin 500mg,Amoxicillin,Antibiotic,6,0.86,5.16,North,PH1008,Yes
SAL10095,2024-06-28,Ibuprofen 200mg,Ibuprofen,NSAID,6,0.28,1.68,South,PH1000,No
SAL10037,2024-06-29,Ibuprofen 200mg,Ibuprofen,NSAID,4,0.56,2.24,West,PH1001,No
SAL10147,2024-07-01,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,12,0.69,8.28,North,PH1009,No
SAL10082,2024-07-02,Amlodipine 5mg,Amlodipine,Antihypertensive,5,0.62,3.1,Central,PH1001,Yes
SAL10149,2024-07-03,Salbutamol Inhaler,Salbutamol,Bronchodilator,2,4.63,9.26,Central,PH1008,No
SAL10196,2024-07-04,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,9,0.5,4.5,Central,PH1006,No
SAL10004,2024-07-06,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,7,0.41,2.87,North,PH1003,No
SAL10042,2024-07-08,Metformin 500mg,Metformin,Antidiabetic,2,0.47,0.94,Central,PH1000,Yes
SAL10137,2024-07-08,Cetirizine 10mg,Cetirizine,Antihistamine,2,0.52,1.04,North,PH1006,No
SAL10032,2024-07-12,Amlodipine 5mg,Amlodipine,Antihypertensive,4,0.87,3.48,South,PH1004,Yes
SAL10185,2024-07-12,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,4,0.79,3.16,East,PH1008,Yes
SAL10144,2024-07-16,Salbutamol Inhaler,Salbutamol,Bronchodilator,4,4.95,19.8,Central,PH1005,No
SAL10018,2024-07-16,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,2,0.85,1.7,North,PH1000,Yes
SAL10096,2024-07-16,Ibuprofen 200mg,Ibuprofen,NSAID,4,0.48,1.92,North,PH1002,No
SAL10187,2024-07-22,Amlodipine 5mg,Amlodipine,Antihypertensive,5,0.83,4.15,North,PH1004,Yes
SAL10012,2024-07-25,Amoxicillin 500mg,Amoxicillin,Antibiotic,2,1.21,2.42,West,PH1001,Yes
SAL10123,2024-07-29,Cetirizine 10mg,Cetirizine,Antihistamine,6,0.4,2.4,East,PH1002,No
SAL10106,2024-07-31,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,2,0.76,1.52,North,PH1000,Yes
SAL10007,2024-08-02,Ibuprofen 200mg,Ibuprofen,NSAID,9,0.48,4.32,West,PH1003,No
SAL10049,2024-08-05,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,4,1.18,4.72,South,PH1005,Yes
SAL10136,2024-08-06,Salbutamol Inhaler,Salbutamol,Bronchodilator,3,4.98,14.94,South,PH1004,No
SAL10066,2024-08-07,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,6,0.82,4.92,North,PH1001,Yes
SAL10131,2024-08-13,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,4,0.8,3.2,South,PH1001,Yes
SAL10172,2024-08-13,Fluconazole 150mg,Fluconazole,Antifungal,2,2.57,5.14,North,PH1007,Yes
SAL10090,2024-08-14,Amlodipine 5mg,Amlodipine,Antihypertensive,1,0.58,0.58,South,PH1003,Yes
SAL10179,2024-08-15,Amoxicillin 500mg,Amoxicillin,Antibiotic,4,1.09,4.36,West,PH1002,Yes
SAL10112,2024-08-15,Cetirizine 10mg,Cetirizine,Antihistamine,5,0.6,3.0,West,PH1008,No
SAL10070,2024-08-15,Amlodipine 5mg,Amlodipine,Antihypertensive,6,0.5,3.0,South,PH1008,Yes
SAL10061,2024-08-17,Salbutamol Inhaler,Salbutamol,Bronchodilator,1,5.01,5.01,East,PH1007,No
SAL10139,2024-08-19,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,5,0.96,4.8,West,PH1005,Yes
SAL10058,2024-08-20,Cetirizine 10mg,Cetirizine,Antihistamine,6,0.43,2.58,East,PH1008,No
SAL10093,2024-08-20,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,2,0.74,1.48,North,PH1000,Yes
SAL10030,2024-08-20,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,6,0.94,5.64,Central,PH1005,Yes
SAL10184,2024-08-20,Amlodipine 5mg,Amlodipine,Antihypertensive,1,0.67,0.67,West,PH1004,Yes
SAL10133,2024-08-24,Fluconazole 150mg,Fluconazole,Antifungal,1,2.24,2.24,South,PH1003,Yes
SAL10072,2024-08-26,Amlodipine 5mg,Amlodipine,Antihypertensive,2,0.68,1.36,South,PH1007,Yes
SAL10024,2024-08-27,Fluconazole 150mg,Fluconazole,Antifungal,1,2.79,2.79,South,PH1008,Yes
SAL10155,2024-08-28,Fluconazole 150mg,Fluconazole,Antifungal,4,2.42,9.68,East,PH1001,Yes
SAL10047,2024-09-03,Cetirizine 10mg,Cetirizine,Antihistamine,2,0.55,1.1,Central,PH1001,No
SAL10081,2024-09-05,Amlodipine 5mg,Amlodipine,Antihypertensive,4,0.69,2.76,South,PH1001,Yes
SAL10050,2024-09-06,Cetirizine 10mg,Cetirizine,Antihistamine,2,0.62,1.24,Central,PH1008,No
SAL10120,2024-09-07,Amlodipine 5mg,Amlodipine,Antihypertensive,1,0.3,0.3,East,PH1000,Yes
SAL10011,2024-09-11,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,1,1.13,1.13,East,PH1001,Yes
SAL10176,2024-09-13,Amoxicillin 500mg,Amoxicillin,Antibiotic,7,1.02,7.14,West,PH1003,Yes
SAL10164,2024-09-14,Fluconazole 150mg,Fluconazole,Antifungal,2,2.62,5.24,East,PH1007,Yes
SAL10002,2024-09-14,Amoxicillin 500mg,Amoxicillin,Antibiotic,2,1.2,2.4,Central,PH1001,Yes
SAL10025,2024-09-15,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,2,0.91,1.82,South,PH1007,Yes
SAL10159,2024-09-17,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,2,1.06,2.12,West,PH1006,Yes
SAL10101,2024-09-17,Amoxicillin 500mg,Amoxicillin,Antibiotic,4,0.88,3.52,West,PH1009,Yes
SAL10006,2024-09-20,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,7,0.61,4.27,Central,PH1003,No
SAL10043,2024-09-20,Amoxicillin 500mg,Amoxicillin,Antibiotic,4,1.15,4.6,Central,PH1004,Yes
SAL10148,2024-09-25,Salbutamol Inhaler,Salbutamol,Bronchodilator,5,4.92,24.6,East,PH1005,No
SAL10039,2024-09-29,Cetirizine 10mg,Cetirizine,Antihistamine,4,0.41,1.64,West,PH1009,No
SAL10134,2024-10-04,Cetirizine 10mg,Cetirizine,Antihistamine,5,0.16,0.8,South,PH1006,No
SAL10113,2024-10-08,Metformin 500mg,Metformin,Antidiabetic,2,0.9,1.8,Central,PH1008,Yes
SAL10075,2024-10-14,Salbutamol Inhaler,Salbutamol,Bronchodilator,1,5.08,5.08,West,PH1007,No
SAL10126,2024-10-14,Amoxicillin 500mg,Amoxicillin,Antibiotic,3,1.31,3.93,South,PH1008,Yes
SAL10023,2024-10-20,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,3,0.8,2.4,East,PH1001,Yes
SAL10078,2024-10-20,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,3,0.95,2.85,South,PH1003,Yes
SAL10153,2024-10-21,Ibuprofen 200mg,Ibuprofen,NSAID,6,0.22,1.32,South,PH1005,No
SAL10092,2024-10-26,Fluconazole 150mg,Fluconazole,Antifungal,1,2.17,2.17,Central,PH1000,Yes
SAL10008,2024-10-27,Amlodipine 5mg,Amlodipine,Antihypertensive,2,0.79,1.58,Central,PH1004,Yes
SAL10190,2024-10-27,Cetirizine 10mg,Cetirizine,Antihistamine,6,0.2,1.2,South,PH1003,No
SAL10087,2024-10-29,Cetirizine 10mg,Cetirizine,Antihistamine,5,0.41,2.05,West,PH1000,No
SAL10143,2024-10-29,Metformin 500mg,Metformin,Antidiabetic,5,0.75,3.75,East,PH1008,Yes
SAL10029,2024-10-30,Salbutamol Inhaler,Salbutamol,Bronchodilator,3,5.02,15.06,East,PH1001,No
SAL10186,2024-10-31,Amlodipine 5mg,Amlodipine,Antihypertensive,4,0.47,1.88,South,PH1004,Yes
SAL10152,2024-10-31,Salbutamol Inhaler,Salbutamol,Bronchodilator,1,5.08,5.08,North,PH1008,No
SAL10170,2024-11-01,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,5,1.07,5.35,South,PH1000,Yes
SAL10118,2024-11-04,Fluconazole 150mg,Fluconazole,Antifungal,2,2.35,4.7,South,PH1005,Yes
SAL10074,2024-11-06,Amoxicillin 500mg,Amoxicillin,Antibiotic,10,1.22,12.2,West,PH1005,Yes
SAL10071,2024-11-07,Cetirizine 10mg,Cetirizine,Antihistamine,5,0.67,3.35,Central,PH1009,No
SAL10067,2024-11-07,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,9,0.13,1.17,South,PH1001,No
SAL10191,2024-11-07,Salbutamol Inhaler,Salbutamol,Bronchodilator,2,5.18,10.36,South,PH1003,No
SAL10117,2024-11-08,Cetirizine 10mg,Cetirizine,Antihistamine,3,0.34,1.02,East,PH1004,No
SAL10055,2024-11-09,Amoxicillin 500mg,Amoxicillin,Antibiotic,10,0.94,9.4,North,PH1007,Yes
SAL10019,2024-11-10,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,3,0.78,2.34,East,PH1001,Yes
SAL10197,2024-11-13,Amlodipine 5mg,Amlodipine,Antihypertensive,1,0.88,0.88,North,PH1005,Yes
SAL10046,2024-11-13,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,9,0.82,7.38,East,PH1008,No
SAL10162,2024-11-18,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,15,0.44,6.6,East,PH1004,No
SAL10151,2024-11-19,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,4,0.86,3.44,East,PH1000,Yes
SAL10127,2024-11-23,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,5,0.33,1.65,East,PH1009,No
SAL10114,2024-11-25,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,7,0.63,4.41,Central,PH1004,No
SAL10079,2024-11-30,Ibuprofen 200mg,Ibuprofen,NSAID,7,0.71,4.97,West,PH1002,No
SAL10195,2024-11-30,Salbutamol Inhaler,Salbutamol,Bronchodilator,2,4.77,9.54,West,PH1009,No
SAL10041,2024-12-07,Fluconazole 150mg,Fluconazole,Antifungal,1,2.37,2.37,West,PH1008,Yes
SAL10057,2024-12-07,Cetirizine 10mg,Cetirizine,Antihistamine,2,0.4,0.8,West,PH1008,No
SAL10021,2024-12-08,Metformin 500mg,Metformin,Antidiabetic,3,0.65,1.95,West,PH1005,Yes
SAL10166,2024-12-09,Ibuprofen 200mg,Ibuprofen,NSAID,3,0.63,1.89,West,PH1002,No
SAL10180,2024-12-09,Amlodipine 5mg,Amlodipine,Antihypertensive,3,0.56,1.68,Central,PH1008,Yes
SAL10121,2024-12-09,Amoxicillin 500mg,Amoxicillin,Antibiotic,4,1.19,4.76,West,PH1004,Yes
SAL10069,2024-12-13,Ibuprofen 200mg,Ibuprofen,NSAID,4,0.57,2.28,South,PH1004,No
SAL10031,2024-12-14,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,1,0.79,0.79,West,PH1006,Yes
SAL10044,2024-12-15,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,5,0.7,3.5,North,PH1004,Yes
SAL10142,2024-12-19,Omeprazole 20mg,Omeprazole,Proton pump inhibitor,1,0.9,0.9,East,PH1001,Yes
SAL10175,2024-12-22,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,2,0.94,1.88,South,PH1000,Yes
SAL10150,2024-12-24,Amoxicillin 500mg,Amoxicillin,Antibiotic,2,0.92,1.84,West,PH1009,Yes
SAL10001,2024-12-25,Atorvastatin 10mg,Atorvastatin,Lipid-lowering,1,0.83,0.83,South,PH1002,Yes
SAL10089,2024-12-28,Metformin 500mg,Metformin,Antidiabetic,2,0.67,1.34,West,PH1008,Yes
SAL10138,2024-12-28,Paracetamol 500mg,Paracetamol,Analgesic/Antipyretic,5,0.53,2.65,West,PH1003,No
